scope,scenario_short,scenario_id,treatment,metric,n,mean,median,sd,min,q1,q3,max
treatment,ALL,,T0,final_error_m,80,0.5831123859081649,0.6834715095487225,0.19839310604198004,0.31189644505071257,0.3870443059948967,0.7623528709523405,0.8894510044738692
treatment,ALL,,T0,landing_time_s,80,20.6398625,21.6295,5.817212845053196,11.087,15.437,25.47975,29.531
treatment,ALL,,T0,total_duration_s,80,28.145925,29.2965,5.811129561377369,18.255,23.122999999999998,33.06025,37.053
treatment,ALL,,T0,accepted_detection_rate,80,0.6888725493946849,0.7481962481962482,0.22769255571033495,0.0,0.6156983455175067,0.8533228910270754,0.9724770642201835
treatment,ALL,,T0,lost_detection_count,80,21.875,18.5,11.268163958131856,3.0,12.75,31.0,45.0
treatment,ALL,,T0,latency_ms_mean,80,119.63095768434111,108.87552965088474,46.21050414477131,61.170642201834866,91.1246755952381,134.88930952380952,312.4914814814815
treatment,ALL,,T0,latency_ms_max,80,240.272,209.53500000000003,84.31609470515765,154.97,185.3725,264.6725,532.68
treatment,ALL,,T0,mean_abs_error_x_norm,78,0.22823814347744745,0.22905056903866455,0.11943521414622958,0.00938464696290063,0.1352319693090125,0.2974369216274905,0.48744504018263385
treatment,ALL,,T0,std_error_x_norm,78,0.04118321585717714,0.038122460540845296,0.027566165361131045,0.002065886850381695,0.02051850501640207,0.06249806945739099,0.09891481846740267
treatment,ALL,,T0,mean_abs_error_y_norm,78,0.276091797513266,0.2761529226618846,0.13995573960016983,0.01898802192650031,0.1673034980964171,0.3873878856674784,0.6101230398813884
treatment,ALL,,T0,std_error_y_norm,78,0.04292448778352761,0.04386664244868432,0.021602040265907434,0.004457038543206661,0.024670805830389587,0.05995524222558297,0.11222423075608552
treatment,ALL,,T0,max_abs_horizontal_command_m_s,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treatment,ALL,,T0,command_count,80,85.5125,89.5,31.790450659978966,27.0,53.0,109.75,135.0
treatment,ALL,,T0,descent_command_count,80,85.5125,89.5,31.790450659978966,27.0,53.0,109.75,135.0
treatment,ALL,,T1,final_error_m,80,0.020620575127081115,0.02113387285080333,0.010311665735150568,0.0017543251866865795,0.012506715320774058,0.02720533415368165,0.04727773230967795
treatment,ALL,,T1,landing_time_s,80,28.889675,28.2915,5.82123719020996,17.761,24.55575,33.88375,43.407
treatment,ALL,,T1,total_duration_s,80,36.3884,35.8935,5.851630476233077,25.025,32.067750000000004,41.06225,50.694
treatment,ALL,,T1,accepted_detection_rate,80,0.9978005659560859,1.0,0.005754724210350024,0.972972972972973,1.0,1.0,1.0
treatment,ALL,,T1,lost_detection_count,80,0.25,0.0,0.6463137929731515,0.0,0.0,0.0,3.0
treatment,ALL,,T1,latency_ms_mean,80,75.8051703044345,78.27754133597884,17.294292182316322,52.062990654205606,58.07023499103943,89.69692649220818,114.19945945945945
treatment,ALL,,T1,latency_ms_max,80,126.201,108.16,48.023895149357216,71.0,83.55000000000001,163.4625,246.48
treatment,ALL,,T1,mean_abs_error_x_norm,80,0.057344495964346,0.05731482727914794,0.031016235147556977,0.0101096604087136,0.03474799355623439,0.07239621507710424,0.13427954355875651
treatment,ALL,,T1,std_error_x_norm,80,0.0492703538307337,0.044853046710851774,0.030248361859411498,0.008281974703682155,0.024421795612739963,0.06300237044709528,0.12012102744290366
treatment,ALL,,T1,mean_abs_error_y_norm,80,0.06380494312212862,0.055355968499371716,0.03587202658677672,0.018490850130716958,0.040437013146017685,0.08333216267196755,0.16112948045081135
treatment,ALL,,T1,std_error_y_norm,80,0.0659795622191514,0.058488934742908234,0.0421612143350803,0.010272407912994554,0.035007352881412226,0.08696396795896552,0.1766607551558009
treatment,ALL,,T1,max_abs_horizontal_command_m_s,80,0.0674045081436634,0.06492839058240255,0.02457181611586478,0.02872462272644043,0.046017056703567503,0.09656168818473816,0.1
treatment,ALL,,T1,command_count,80,132.175,128.0,29.746513464457298,79.0,108.0,160.0,202.0
treatment,ALL,,T1,descent_command_count,80,87.2625,92.5,28.546539283480428,40.0,59.0,112.0,140.0
