scope,scenario_short,scenario_id,treatment,n,landing_success_rate,abort_rate,lost_detection_mean,lost_detection_max,accepted_detection_rate_mean,latency_ms_mean_mean,latency_ms_mean_max,latency_ms_max_mean,latency_ms_max_max,final_error_m_mean,final_error_m_max,landing_time_s_mean,landing_time_s_max,max_abs_horizontal_command_m_s_mean,max_abs_horizontal_command_m_s_max,std_error_x_norm_mean,std_error_y_norm_mean
treatment,ALL,,T0,80,1.0,0.0,21.875,45.0,0.6888725493946849,119.63095768434111,312.4914814814815,240.272,532.68,0.5831123859081649,0.8894510044738692,20.6398625,29.531,0.0,0.0,0.04118321585717714,0.04292448778352761
treatment,ALL,,T1,80,1.0,0.0,0.25,3.0,0.9978005659560859,75.8051703044345,114.19945945945945,126.201,246.48,0.020620575127081115,0.04727773230967795,28.889675,43.407,0.0674045081436634,0.1,0.0492703538307337,0.0659795622191514
scenario_treatment,S01,P05_S01_H2_Y04_YAW0,T0,10,1.0,0.0,12.7,17.0,0.841861676031028,110.74971081415885,133.5396153846154,250.254,530.79,0.3996982068036806,0.500196630780288,19.6737,20.899,0.0,0.0,0.07613395799137251,0.01905605967844103
scenario_treatment,S01,P05_S01_H2_Y04_YAW0,T1,10,1.0,0.0,1.3,3.0,0.9889520077487992,92.85605072179631,114.19945945945945,170.812,246.01,0.020533507078419493,0.03710405963405995,26.8151,29.046,0.048573021888732915,0.05426168441772461,0.05375200894909753,0.016882054383572334
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,10,1.0,0.0,17.3,27.0,0.7085078598942381,118.26748881663411,143.26590909090908,216.965,234.59,0.3800464336941281,0.46157112256185373,15.173,18.915,0.0,0.0,0.024170742721239966,0.03407028312017271
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,10,1.0,0.0,0.5,2.0,0.9955577830577831,80.61280382132323,85.02897435897435,135.344,220.16,0.01717945505883133,0.026943840759014247,22.18,26.882,0.06388421694437663,0.08074723879496257,0.035633672862192226,0.06356567758016987
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,10,1.0,0.0,24.3,36.0,0.3843462029364167,180.38258315211837,266.802,314.533,417.52,0.7850184555367189,0.8578794072651086,13.4011,15.62,0.0,0.0,0.03379235279236435,0.026300364030918143
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,10,1.0,0.0,0.0,0.0,1.0,84.04272618475693,94.38741379310345,136.262,175.21,0.01976916853346678,0.037745122546757964,23.8521,26.076,0.09937954187393189,0.1,0.07549268997285473,0.1147389870421455
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,10,1.0,0.0,28.9,42.0,0.39544926755578,175.2896385919537,312.4914814814815,293.146,532.68,0.764196195715995,0.8419657493635678,13.8809,15.618,0.0,0.0,0.021483926961372486,0.02174466241035316
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T1,10,1.0,0.0,0.2,2.0,0.9978947368421053,80.01197171893905,109.17913461538461,139.403,236.76,0.026528451714377458,0.041017649532215664,23.0627,24.761,0.09990968823432923,0.1,0.08604270091487407,0.11817273038380781
scenario_treatment,S05,P05_S05_H3_Y04_YAW0,T0,10,1.0,0.0,12.9,18.0,0.8863678771095717,89.71603160845547,115.77770491803278,221.4,336.5,0.3435520307764746,0.3704754616676113,25.6573,29.192,0.0,0.0,0.03531657558532242,0.04597986083952459
scenario_treatment,S05,P05_S05_H3_Y04_YAW0,T1,10,1.0,0.0,0.0,0.0,1.0,76.16789578215705,95.91343558282209,129.246,210.71,0.021503824542619548,0.04727773230967795,30.3875,35.55,0.03666950782140096,0.044810787836710615,0.02429189456921066,0.038729228851700014
scenario_treatment,S06,P05_S06_H3_Y04_YAW15,T0,10,1.0,0.0,14.1,45.0,0.8843104008662483,72.67158540300362,92.71406015037593,179.319,205.45,0.47564879001763977,0.8462515876111237,25.6391,29.531,0.0,0.0,0.04369552757676898,0.06895229509674557
scenario_treatment,S06,P05_S06_H3_Y04_YAW15,T1,10,1.0,0.0,0.0,0.0,1.0,57.57711170676772,62.43690909090909,82.835,101.55,0.01651916140248051,0.03225641805639877,32.8749,36.696,0.04003572384516398,0.05208365122477213,0.02533590765313986,0.034126303466277035
scenario_treatment,S07,P05_S07_H3_Y08_YAW0,T0,10,1.0,0.0,30.2,44.0,0.7310517455731047,110.68444436972601,142.84825242718446,249.15200000000002,359.08,0.7660185992886959,0.8894510044738692,26.601,29.163,0.0,0.0,0.04691707915944022,0.06096372343909503
scenario_treatment,S07,P05_S07_H3_Y08_YAW0,T1,10,1.0,0.0,0.0,0.0,1.0,76.67899092506225,105.59214689265538,131.415,246.48,0.02240431927280521,0.03886147343590491,36.8115,43.407,0.07669234951337178,0.09823222160339355,0.046694157363729796,0.06752292312307331
scenario_treatment,S08,P05_S08_H3_Y08_YAW15,T0,10,1.0,0.0,34.6,44.0,0.6790853651910914,99.28617871867883,127.95882978723404,197.407,262.88,0.7507203754319871,0.79891444429236,25.0928,28.67,0.0,0.0,0.04647739145657361,0.06300382890244877
scenario_treatment,S08,P05_S08_H3_Y08_YAW15,T1,10,1.0,0.0,0.0,0.0,1.0,58.493811574673494,61.398993710691826,84.291,103.66,0.020526713413648593,0.03306406537329284,35.1336,37.735,0.07409201502799988,0.09052597681681315,0.04691979836077073,0.07409859292246537
