rank_type,rank,scenario_short,scenario_id,value,interpretation
largest_error_reduction,1,S03,P05_S03_H2_Y08_YAW0,0.7652492870032521,Mayor reduccion media de error final con T1.
largest_error_reduction,2,S07,P05_S07_H3_Y08_YAW0,0.7436142800158907,Mayor reduccion media de error final con T1.
largest_error_reduction,3,S04,P05_S04_H2_Y08_YAW15,0.7376677440016175,Mayor reduccion media de error final con T1.
largest_error_reduction,4,S08,P05_S08_H3_Y08_YAW15,0.7301936620183385,Mayor reduccion media de error final con T1.
largest_error_reduction,5,S06,P05_S06_H3_Y04_YAW15,0.4591296286151592,Mayor reduccion media de error final con T1.
largest_error_reduction,6,S01,P05_S01_H2_Y04_YAW0,0.3791646997252611,Mayor reduccion media de error final con T1.
largest_error_reduction,7,S02,P05_S02_H2_Y04_YAW15,0.36286697863529677,Mayor reduccion media de error final con T1.
largest_error_reduction,8,S05,P05_S05_H3_Y04_YAW0,0.32204820623385505,Mayor reduccion media de error final con T1.
smallest_error_reduction,1,S05,P05_S05_H3_Y04_YAW0,0.32204820623385505,Menor reduccion media de error final con T1.
smallest_error_reduction,2,S02,P05_S02_H2_Y04_YAW15,0.36286697863529677,Menor reduccion media de error final con T1.
smallest_error_reduction,3,S01,P05_S01_H2_Y04_YAW0,0.3791646997252611,Menor reduccion media de error final con T1.
smallest_error_reduction,4,S06,P05_S06_H3_Y04_YAW15,0.4591296286151592,Menor reduccion media de error final con T1.
smallest_error_reduction,5,S08,P05_S08_H3_Y08_YAW15,0.7301936620183385,Menor reduccion media de error final con T1.
smallest_error_reduction,6,S04,P05_S04_H2_Y08_YAW15,0.7376677440016175,Menor reduccion media de error final con T1.
smallest_error_reduction,7,S07,P05_S07_H3_Y08_YAW0,0.7436142800158907,Menor reduccion media de error final con T1.
smallest_error_reduction,8,S03,P05_S03_H2_Y08_YAW0,0.7652492870032521,Menor reduccion media de error final con T1.
largest_time_cost,1,S03,P05_S03_H2_Y08_YAW0,-10.451,Mayor incremento temporal de T1 respecto a T0.
largest_time_cost,2,S07,P05_S07_H3_Y08_YAW0,-10.210500000000001,Mayor incremento temporal de T1 respecto a T0.
largest_time_cost,3,S08,P05_S08_H3_Y08_YAW15,-10.0408,Mayor incremento temporal de T1 respecto a T0.
largest_time_cost,4,S04,P05_S04_H2_Y08_YAW15,-9.1818,Mayor incremento temporal de T1 respecto a T0.
largest_time_cost,5,S06,P05_S06_H3_Y04_YAW15,-7.2358,Mayor incremento temporal de T1 respecto a T0.
largest_time_cost,6,S01,P05_S01_H2_Y04_YAW0,-7.141400000000001,Mayor incremento temporal de T1 respecto a T0.
largest_time_cost,7,S02,P05_S02_H2_Y04_YAW15,-7.007,Mayor incremento temporal de T1 respecto a T0.
largest_time_cost,8,S05,P05_S05_H3_Y04_YAW0,-4.7302,Mayor incremento temporal de T1 respecto a T0.
smallest_time_cost,1,S05,P05_S05_H3_Y04_YAW0,-4.7302,Menor incremento temporal de T1 respecto a T0.
smallest_time_cost,2,S02,P05_S02_H2_Y04_YAW15,-7.007,Menor incremento temporal de T1 respecto a T0.
smallest_time_cost,3,S01,P05_S01_H2_Y04_YAW0,-7.141400000000001,Menor incremento temporal de T1 respecto a T0.
smallest_time_cost,4,S06,P05_S06_H3_Y04_YAW15,-7.2358,Menor incremento temporal de T1 respecto a T0.
smallest_time_cost,5,S04,P05_S04_H2_Y08_YAW15,-9.1818,Menor incremento temporal de T1 respecto a T0.
smallest_time_cost,6,S08,P05_S08_H3_Y08_YAW15,-10.0408,Menor incremento temporal de T1 respecto a T0.
smallest_time_cost,7,S07,P05_S07_H3_Y08_YAW0,-10.210500000000001,Menor incremento temporal de T1 respecto a T0.
smallest_time_cost,8,S03,P05_S03_H2_Y08_YAW0,-10.451,Menor incremento temporal de T1 respecto a T0.
largest_detection_gain,1,S03,P05_S03_H2_Y08_YAW0,0.6156537970635834,Mayor mejora media en tasa de deteccion aceptada.
largest_detection_gain,2,S04,P05_S04_H2_Y08_YAW15,0.6024454692863253,Mayor mejora media en tasa de deteccion aceptada.
largest_detection_gain,3,S08,P05_S08_H3_Y08_YAW15,0.3209146348089086,Mayor mejora media en tasa de deteccion aceptada.
largest_detection_gain,4,S02,P05_S02_H2_Y04_YAW15,0.2870499231635449,Mayor mejora media en tasa de deteccion aceptada.
largest_detection_gain,5,S07,P05_S07_H3_Y08_YAW0,0.2689482544268953,Mayor mejora media en tasa de deteccion aceptada.
largest_detection_gain,6,S01,P05_S01_H2_Y04_YAW0,0.14709033171777125,Mayor mejora media en tasa de deteccion aceptada.
largest_detection_gain,7,S06,P05_S06_H3_Y04_YAW15,0.11568959913375162,Mayor mejora media en tasa de deteccion aceptada.
largest_detection_gain,8,S05,P05_S05_H3_Y04_YAW0,0.1136321228904283,Mayor mejora media en tasa de deteccion aceptada.
